"","X","id","device","nstop","prstop","mig_duration","depart_time","arrive_time","mean_stop_duration","sd_stop_duration","mean_stop_step","sd_stop_step","mig_dist","mig_dist_km","species","travel_to_stopover","total_stop_duration","dist_per_day"
"1",1,190082,"10g",7,0.88807705026455,35,82,117,106.569246031746,170.386875008304,2091.00201874126,1924.32019932357,2399263.60356623,2399.26360356623,"AMAV",77.1896860220635,31.0826967592593,68.5503886733209
"2",2,190084,"10g",3,0.516798611111111,5,122,127,20.6719444444444,16.7780304501761,290.493213291636,29.5917643692832,1885390.89161132,1885.39089161132,"AMAV",729.642398828338,2.58399305555556,377.078178322264
"3",3,190091,"10g",6,0.546721714092141,41,99,140,89.6623611111111,155.287979054662,618.714690292517,505.911236451933,2386747.67009615,2386.74767009615,"AMAV",106.477127772196,22.4155902777778,58.2133578072232
"4",4,190092,"10g",NA,NA,38,81,119,NA,NA,NA,NA,2210498.19512438,2210.49819512438,"AMAV",104.041918150362,21.2462268518519,NA
"5",5,190093,"10g",4,0.569413580246914,6,115,121,20.4988888888889,11.9297970741523,855.764559479252,729.755766766029,2113146.17172152,2113.14617172152,"AMAV",618.515330223656,3.41648148148148,352.191028620253
"6",6,190095,"10g",4,0.166698343079922,19,111,130,19.0036111111111,24.1533306306926,799.741647392016,1011.1706456604,1417502.57329098,1417.50257329098,"AMAV",447.54733140025,3.16726851851852,74.6053985942621
"7",7,190096,"10g",2,0.166669560185185,4,112,116,8.00013888888889,0.000196418550328999,85.7664486275747,99.6421662564793,1924241.03405278,1924.24103405278,"AMAV",2886.31144150553,0.666678240740741,481.060258513195
"8",8,190097,"10g",3,0.41658275462963,4,116,120,13.3306481481481,3.05563714958398,719.824805581087,622.956621989626,2110613.4131316,2110.6134131316,"AMAV",1266.6231317041,1.66633101851852,527.6533532829
"9",9,190100,"10g",7,0.859212239583333,32,102,134,94.2678571428571,164.875698237282,1453.0570082583,1126.07643996925,3214256.43806973,3214.25643806973,"AMAV",116.904193239134,27.4947916666667,100.445513689679
"10",10,190104,"10g",4,0.880663151577503,27,120,147,142.667430555556,172.572466925521,781.828171928652,1052.22582717894,1709886.88362005,1709.88688362005,"AMAV",71.9107455834164,23.7779050925926,63.3291438377796
"11",11,200673,"10g",9,0.905259259259259,40,111,151,96.560987654321,67.4019181738681,1468.07913713622,1308.70609529592,2643061.97077854,2643.06197077854,"AMAV",72.9918513327677,36.2103703703704,66.0765492694635
"12",12,202413,"10g",6,0.685693392255892,11,125,136,30.1705092592593,31.0104916382934,988.881726557329,547.910582388831,2748949.85411133,2748.94985411133,"AMAV",364.45521426095,7.54262731481481,249.904532191939
"13",13,202417,"10g",4,0.555561342592593,6,133,139,20.0002083333333,12.1017788806813,405.455284129919,126.097566254271,2228666.4890399,2228.6664890399,"AMAV",668.592982201739,3.33336805555556,371.444414839983
"14",14,202418,"10g",5,0.520869984567901,6,115,121,15.0010555555556,3.00442731699178,922.712326818936,995.410310189393,2292948.11687482,2292.94811687482,"AMAV",733.691767238545,3.12521990740741,382.158019479137
