"","X","id","DateTime","lat","lon","species","device","breed","dist","stop","label"
"1",1,178869,2020-04-04 23:49:20,27.1879807,-97.3818512,"BBPL","3.7g","nb",1743.51752483152,1,1
"2",2,178869,2020-04-12 00:00:00,27.1774082,-97.3688202,"BBPL","3.7g","nb",133.569582241655,1,1
"3",3,178869,2020-04-19 00:02:08,27.1762047,-97.3688965,"BBPL","3.7g","nb",174.570581106474,1,1
"4",4,178869,2020-04-26 00:00:00,27.1777668,-97.3686676,"BBPL","3.7g","nb",60.0804143096353,1,1
"5",5,178869,2020-04-27 00:02:08,27.1772289,-97.3685913,"BBPL","3.7g","nb",49.8165622096635,1,1
"6",6,178869,2020-04-30 00:00:00,27.177639,-97.3687973,"BBPL","3.7g","nb",2495.84051212527,1,1
"7",7,178869,2020-05-03 00:02:08,27.1679363,-97.3915253,"BBPL","3.7g","nb",2522.59301398164,1,1
"8",8,178869,2020-05-06 00:00:00,27.1776123,-97.3684845,"BBPL","3.7g","nb",14.4800141324239,1,1
"9",9,178869,2020-05-09 00:02:08,27.1774845,-97.368515,"BBPL","3.7g","nb",1863.46647619878,1,1
"10",10,178869,2020-05-12 00:00:00,27.1822205,-97.3865585,"BBPL","3.7g","nb",1740531.56574212,0,0
"11",11,178869,2020-05-15 00:02:08,42.8558731,-98.2217865,"BBPL","3.7g","nb",42375.7910224853,1,0
"12",12,178869,2020-05-17 00:02:08,43.2373123,-98.2238083,"BBPL","3.7g","nb",40637.9154489876,1,0
"13",13,178869,2020-05-18 00:00:00,43.5653496,-98.4457321,"BBPL","3.7g","nb",651027.313847185,0,0
"14",14,178869,2020-05-19 00:02:08,49.2773743,-100.319832,"BBPL","3.7g","nb",5182.76994048602,1,5
"15",15,178869,2020-05-20 00:00:00,49.2802696,-100.390923,"BBPL","3.7g","nb",2102.7095247721,1,5
"16",16,178869,2020-05-21 00:02:08,49.2818298,-100.362122,"BBPL","3.7g","nb",2087.00125449003,1,5
"17",17,178869,2020-05-22 00:00:00,49.280014,-100.390671,"BBPL","3.7g","nb",621.904319662536,1,5
"18",18,178869,2020-05-23 00:02:08,49.2837753,-100.396996,"BBPL","3.7g","nb",468.721952124701,1,5
"19",19,178869,2020-05-24 00:00:00,49.2878723,-100.395485,"BBPL","3.7g","nb",462.890087484249,1,5
"20",20,178869,2020-05-25 00:02:08,49.2837753,-100.396606,"BBPL","3.7g","nb",354.534830608331,1,5
"21",21,178869,2020-05-26 00:00:00,49.2868996,-100.395638,"BBPL","3.7g","nb",4986.41766583614,1,5
"22",22,178869,2020-05-27 00:02:08,49.2833939,-100.327309,"BBPL","3.7g","nb",5009.04569720485,1,5
"23",23,178869,2020-05-28 00:00:00,49.282753,-100.396149,"BBPL","3.7g","nb",7572.4586203626,1,5
"24",24,178869,2020-05-29 00:02:08,49.3227119,-100.311844,"BBPL","3.7g","nb",9809.46561598178,1,5
"25",25,178869,2020-05-30 00:00:00,49.2514191,-100.391235,"BBPL","3.7g","nb",4948.48218647254,1,5
"26",26,178869,2020-05-31 00:02:08,49.2626038,-100.325439,"BBPL","3.7g","nb",5350.13482702079,1,5
"27",27,178869,2020-06-01 00:00:00,49.2824173,-100.392433,"BBPL","3.7g","nb",185.324986481771,1,0
"28",28,178869,2020-06-02 00:02:08,49.2822418,-100.3899,"BBPL","3.7g","nb",819960.355725164,0,0
"29",29,178869,2020-06-04 00:02:08,56.6493301,-100.592804,"BBPL","3.7g","nb",609448.454884784,0,0
"30",30,178869,2020-06-05 00:00:00,61.7665672,-104.378586,"BBPL","3.7g","nb",120353.831857577,0,0
"31",31,178869,2020-06-06 00:02:08,61.8259315,-106.656937,"BBPL","3.7g","nb",95627.6469666163,0,0
"32",32,178869,2020-06-07 00:00:00,62.6552429,-106.184898,"BBPL","3.7g","nb",5282.91504769992,1,7
"33",33,178869,2020-06-08 00:02:08,62.6973839,-106.232101,"BBPL","3.7g","nb",2815.52065986813,1,7
"34",34,178869,2020-06-09 00:00:00,62.7190132,-106.260521,"BBPL","3.7g","nb",1934.41583588091,1,7
"35",35,178869,2020-06-10 00:02:08,62.7154808,-106.297539,"BBPL","3.7g","nb",1420.51659676895,1,7
"36",36,178869,2020-06-11 00:00:00,62.7206535,-106.272163,"BBPL","3.7g","nb",6.7585127075462,1,7
"37",37,178869,2020-06-12 00:02:08,62.7207031,-106.272087,"BBPL","3.7g","nb",18467.3647036271,1,7
"38",38,178869,2020-06-13 00:00:00,62.885849,-106.301353,"BBPL","3.7g","nb",320021.907528491,0,0
"39",39,178869,2020-06-14 00:02:08,65.7516174,-105.916634,"BBPL","3.7g","nb",640675.221642292,0,0
"40",40,178869,2020-06-15 00:00:00,71.4850464,-106.867188,"BBPL","3.7g","nb",1076.18863444845,1,444
"41",41,178869,2020-06-16 00:02:08,71.4946442,-106.864189,"BBPL","3.7g","nb",222.689027151062,1,444
"42",42,178869,2020-06-17 00:00:00,71.4965668,-106.862503,"BBPL","3.7g","nb",19.205955423638,1,444
"43",43,178869,2020-06-18 00:02:08,71.4965668,-106.861961,"BBPL","3.7g","nb",1043.91009356483,1,444
"44",44,178869,2020-06-19 00:00:00,71.4872437,-106.859505,"BBPL","3.7g","nb",836.434939691765,1,444
"45",45,178869,2020-06-20 00:02:08,71.4945908,-106.864189,"BBPL","3.7g","nb",1193.67408762121,1,444
"46",46,178869,2020-06-21 00:00:00,71.4847336,-106.877274,"BBPL","3.7g","nb",1207.98289085508,1,444
"47",47,178869,2020-06-22 00:02:08,71.4946213,-106.863396,"BBPL","3.7g","nb",704.4487847697,1,444
"48",48,178869,2020-06-23 00:00:00,71.4883194,-106.862198,"BBPL","3.7g","nb",183.436935880767,1,444
"49",49,178869,2020-06-24 00:02:08,71.4882202,-106.867363,"BBPL","3.7g","nb",819.874874662687,1,444
"50",50,178869,2020-06-25 00:00:00,71.4953842,-106.862221,"BBPL","3.7g","nb",667.507394052582,1,444
"51",51,178869,2020-06-26 00:02:08,71.489418,-106.86084,"BBPL","3.7g","nb",114.380540113903,1,444
"52",52,178869,2020-06-27 00:00:00,71.4889832,-106.857918,"BBPL","3.7g","nb",22.0025709044353,1,444
"53",53,178869,2020-06-28 00:02:08,71.4888077,-106.857635,"BBPL","3.7g","nb",559.358553851692,1,444
"54",54,178869,2020-06-29 00:00:00,71.4879837,-106.873199,"BBPL","3.7g","nb",208.568016774709,1,444
"55",55,178869,2020-06-30 00:02:08,71.4882202,-106.867363,"BBPL","3.7g","nb",181.487728883482,1,444
"56",56,178869,2020-07-01 00:00:00,71.4893417,-106.863655,"BBPL","3.7g","nb",522.724350494844,1,444
"57",57,178869,2020-07-02 00:02:08,71.4866333,-106.851624,"BBPL","3.7g","nb",88.6184936992924,1,444
"58",58,178869,2020-07-03 00:00:00,71.4867096,-106.849136,"BBPL","3.7g","nb",666.957237395345,1,444
"59",59,178869,2020-07-04 00:02:08,71.4881897,-106.867363,"BBPL","3.7g","nb",32.7364616568995,1,444
"60",60,178869,2020-07-05 00:00:00,71.4880142,-106.866623,"BBPL","3.7g","nb",428.121374433387,1,444
"61",61,178869,2020-07-06 00:02:08,71.4902649,-106.876404,"BBPL","3.7g","nb",308.13113076968,1,444
"62",62,178869,2020-07-07 00:00:00,71.4876556,-106.873558,"BBPL","3.7g","nb",228.349931387916,1,444
