"","id","device","species","nstop","prstop","mig_duration","depart_time","arrive_time","mean_stop_duration","sd_stop_duration","mean_stop_step","sd_stop_step","ppd","mig_dist","mig_dist_km"
"1",178869,"3.7g","BBPL",2,0.459499499499499,37,130,167,204.017777777778,118.768797664898,2962.94606927112,948.825207927163,1,5162669.01264189,5162.66901264189
"2",178863,"3.7g","BBPL",2,0.00833333333333333,20,140,160,2,0,3072.54875925124,NA,1,5155764.37032283,5155.76437032284
"3",178865,"3.7g","BBPL",2,0.33326278659612,21,127,148,83.9822222222222,84.8779553168279,1772.59199437007,1888.55485095961,1,5880553.7782883,5880.5537782883
"4",178866,"3.7g","BBPL",1,0.285714285714286,14,140,154,96,NA,1973.96158929848,NA,1,6128521.44754952,6128.52144754951
"5",178867,"3.7g","BBPL",1,0.421052631578947,19,140,159,192,NA,1514.33199725683,NA,1,6577047.8370807,6577.0478370807
"6",178868,"3.7g","BBPL",2,0.00980392156862745,17,130,147,2,0,2172.1546709995,NA,1,4021703.03758284,4021.70303758284
"7",178870,"3.7g","BBPL",3,0.0104166666666667,24,130,154,2,0,5005.81165252442,NA,1,7598507.81989129,7598.50781989129
"8",178871,"3.7g","BBPL",3,0.363636363636364,33,130,163,96,48,1086.25126112899,1159.51013833144,1,5957311.52452936,5957.31152452936
"9",179076,"5g","HUGO",5,0.0106837606837607,39,95,134,2,0,11783.6503216539,3223.45412005392,1,14597675.0091409,14597.6750091409
"10",179075,"5g","HUGO",2,0.00574712643678161,29,107,136,2,0,NA,NA,1,5950827.86707968,5950.82786707968
"11",179079,"5g","HUGO",1,0.104257154882155,33,99,132,82.5716666666667,NA,6288.21886662368,NA,1,14619402.3757535,14619.4023757535
"12",179087,"5g","HUGO",2,0.00793650793650794,21,141,162,2,0,22977.1565451396,NA,1,3357205.66905711,3357.20566905711
